Título;Downloads;URL
Love Potions Through the Ages: A Study of Amatory Devices and Mores;21057 downloads;https://www.gutenberg.org/ebooks/63577
Manual of Classical Erotology (De figuris Veneris);20994 downloads;https://www.gutenberg.org/ebooks/57284
North and South;20929 downloads;https://www.gutenberg.org/ebooks/4276
Self Knowledge and Guide to Sex Instruction: Vital Facts of Life for All Ages;20911 downloads;https://www.gutenberg.org/ebooks/47947
The Mysterious Island;20835 downloads;https://www.gutenberg.org/ebooks/1268
The Adventures of Pinocchio;20791 downloads;https://www.gutenberg.org/ebooks/500
Mrs. Dalloway;20780 downloads;https://www.gutenberg.org/ebooks/71865
Bartleby, the Scrivener: A Story of Wall-Street;20767 downloads;https://www.gutenberg.org/ebooks/11231
"Les crimes de l'amour (French)";20740 downloads;https://www.gutenberg.org/ebooks/28718
The Queen of Hearts;20710 downloads;https://www.gutenberg.org/ebooks/1917
"The Vampyre; a Tale";20691 downloads;https://www.gutenberg.org/ebooks/6087
The Tempest;20670 downloads;https://www.gutenberg.org/ebooks/23042
Lives of Fair and Gallant Ladies. Vol 1;20666 downloads;https://www.gutenberg.org/ebooks/67025
The Decameron of Giovanni Boccaccio;20645 downloads;https://www.gutenberg.org/ebooks/23700
The Odyssey;20605 downloads;https://www.gutenberg.org/ebooks/1727
Searchlights on Health: Light on Dark Corners;20482 downloads;https://www.gutenberg.org/ebooks/23609
Sex: Avoided subjects Discussed in Plain English;20466 downloads;https://www.gutenberg.org/ebooks/23680
Studies in the Psychology of Sex, Volume 3;20450 downloads;https://www.gutenberg.org/ebooks/13612
The Red Badge of Courage: An Episode of the American Civil War;20402 downloads;https://www.gutenberg.org/ebooks/73
The English Spy: An Original Work Characteristic, Satirical, And Humorous.;20342 downloads;https://www.gutenberg.org/ebooks/20001
Erotika Biblion (German);20319 downloads;https://www.gutenberg.org/ebooks/43438
Man and Superman: A Comedy and a Philosophy;20295 downloads;https://www.gutenberg.org/ebooks/3328
Storm Over Warlock;20286 downloads;https://www.gutenberg.org/ebooks/20788
